,name,resource,category,homepage,description,projectrank,show,labels,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,github_release_downloads,pypi_id,conda_id,updated_github_id,pypi_url,pypi_monthly_downloads,conda_url,trending,new_addition,gitlab_id,gitlab_url
0,ALGO TRADING CHEAT CODES,True,books,https://a.co/d/clZdkkf,Techniques For Traders To Quickly And Efficiently Develop Better Algorithmic Trading Systems.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Entry and Exit Confessions of a Champion Trader,True,books,https://a.co/d/4QI2fDU,"52 Ways A Professional Speculator Gets In And Out Of The Stock, Futures And Forex Markets.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Introduction To Algo Trading,True,books,https://a.co/d/fpqbVFq,How Retail Traders Can Successfully Compete With Professional Traders (Essential Algo Trading Package).,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Algo Trading 2022,True,books,https://a.co/d/6C7tyK8,Techniques and Algorithmic Trading Systems for Successful Investing.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Machine Learning for Algorithmic Trading,True,books,https://a.co/d/c1cWdjY,Predictive models to extract signals from market and alternative data for systematic trading strategies with Python.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Algorithmic Trading,True,books,https://a.co/d/6z9xiIB,A Practitioners Guide.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Developing High-Frequency Trading Systems,True,books,https://a.co/d/dr8n0VV,Learn how to implement high-frequency trading from scratch with C++ or Java basics.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Algorithmic Trading: Winning Strategies and Their Rationale,True,books,https://a.co/d/3qRbZEe,Winning Strategies and Their Rationale.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Python for Algorithmic Trading,True,books,https://a.co/d/3g8wHDC,From Idea to Cloud Deployment.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Quantitative Trading,True,books,https://a.co/d/8AKZ81H,How to Build Your Own Algorithmic Trading Business (Wiley Trading).,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Algorithmic Trading with Interactive Brokers,True,books,https://a.co/d/0BG4zaW,(Python and C++).,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Automated Stock Trading Systems,True,books,https://a.co/d/70Kf40O,"A Systematic Approach for Traders to Make Money in Bull, Bear and Sideways Markets.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Inside the Black Box,True,books,https://www.amazon.com/Inside-Black-Box-Quantitative-Frequency-ebook/dp/B00BZ9WAVW,A Simple Guide to Quantitative and High Frequency Trading (Wiley Finance Book 885) 2nd Edition.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
